2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=340] with future log sequence number 24546032
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=265] with future log sequence number 24545988
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 24545988
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=264] with future log sequence number 24545944
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=429] with future log sequence number 24545944
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=263] with future log sequence number 24545900
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=400] with future log sequence number 24545900
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=262] with future log sequence number 24545856
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 24545856
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=261] with future log sequence number 24545812
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=363] with future log sequence number 24545812
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=260] with future log sequence number 24545752
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=409] with future log sequence number 24545752
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=259] with future log sequence number 24545645
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 24545645
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=68, page number=3] with future log sequence number 24538650
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=258] with future log sequence number 24545601
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=315] with future log sequence number 24545601
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=257] with future log sequence number 24545557
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=63, page number=7] with future log sequence number 24537955
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=63, page number=6] with future log sequence number 24537919
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=63, page number=5] with future log sequence number 24537885
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=63, page number=4] with future log sequence number 24537841
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=63, page number=3] with future log sequence number 24538051
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=436] with future log sequence number 24545557
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=256] with future log sequence number 24545513
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=58] with future log sequence number 24618976
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=382] with future log sequence number 24618976
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=56] with future log sequence number 24618757
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=385] with future log sequence number 24618757
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=40, page number=3] with future log sequence number 24618623
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=40, page number=5] with future log sequence number 24617634
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=54] with future log sequence number 24617600
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=40, page number=4] with future log sequence number 24618686
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=3] with future log sequence number 24659594
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=7] with future log sequence number 24659594
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=60] with future log sequence number 24659397
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=408] with future log sequence number 24658557
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=338] with future log sequence number 24659397
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=62] with future log sequence number 24658239
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=374] with future log sequence number 24658239
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=61] with future log sequence number 24657603
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=345] with future log sequence number 24657603
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=59] with future log sequence number 24657089
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=423] with future log sequence number 24657089
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=58] with future log sequence number 24655939
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=382] with future log sequence number 24655939
2024-08-13  8:28:41 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=57] with future log sequence number 24655575
